run,model,quantization,dataset,metric_name,latency,tokens_per_sec,model_size_gb,metric_value
0,tinyllama,q8,gsm8k,accuracy,0.5716939290364583,41.92219901138438,1.090375304222107,0.0
0,tinyllama,q8,mbpp,code_validity,1.6466139952341716,32.08604656965745,1.090375304222107,1.0
0,tinyllama,q8,cnn_dm,rougeL,1.9674931128819784,39.61047325811312,1.090375304222107,0.1867554527040759
0,tinyllama,q8,triviaqa,accuracy,0.940507443745931,45.04660430748447,1.090375304222107,0.3
0,tinyllama,q6,gsm8k,accuracy,0.5272436380386353,46.341637092533134,0.8422750234603882,0.0
0,tinyllama,q6,mbpp,code_validity,1.7750109593073526,31.64299711624547,0.8422750234603882,1.0
0,tinyllama,q6,cnn_dm,rougeL,2.5093173742294312,30.818474429557195,0.8422750234603882,0.1864971853441055
0,tinyllama,q6,triviaqa,accuracy,1.2722349961598711,38.46249590762262,0.8422750234603882,0.3
0,tinyllama,q4,gsm8k,accuracy,0.8329253832499186,50.544743678879975,0.6228574514389038,0.0
0,tinyllama,q4,mbpp,code_validity,1.3886268695195516,34.51851205350628,0.6228574514389038,1.0
0,tinyllama,q4,cnn_dm,rougeL,1.9081501563390095,41.803139234968576,0.6228574514389038,0.1846904783410358
0,tinyllama,q4,triviaqa,accuracy,0.8657169580459595,54.1362465307958,0.6228574514389038,0.2666666666666666
0,tinyllama,q2,gsm8k,accuracy,0.5667861541112263,37.58031110234228,0.4499372243881225,0.0
0,tinyllama,q2,mbpp,code_validity,1.438731066385905,33.36273270346214,0.4499372243881225,1.0
0,tinyllama,q2,cnn_dm,rougeL,1.9508965412775676,40.118307152983526,0.4499372243881225,0.1843326431109507
0,tinyllama,q2,triviaqa,accuracy,0.8903637806574504,50.241636402035525,0.4499372243881225,0.2
0,phi2,q8,gsm8k,accuracy,4.359989881515503,19.25080920237335,2.754882663488388,0.0333333333333333
0,phi2,q8,mbpp,code_validity,4.109795967737834,12.709471161918596,2.754882663488388,1.0
0,phi2,q8,cnn_dm,rougeL,5.143794393539428,15.09261984321152,2.754882663488388,0.1970630495255357
0,phi2,q8,triviaqa,accuracy,4.02828958829244,19.73542325036751,2.754882663488388,0.3333333333333333
0,phi2,q6,gsm8k,accuracy,5.00907986164093,16.317035381935042,2.128127902746201,0.0333333333333333
0,phi2,q6,mbpp,code_validity,5.115011016527812,10.296491346057358,2.128127902746201,1.0
0,phi2,q6,cnn_dm,rougeL,5.618732086817423,13.76941727621843,2.128127902746201,0.1917048145359778
0,phi2,q6,triviaqa,accuracy,4.728709602355957,15.472861059222852,2.128127902746201,0.2666666666666666
0,phi2,q4,gsm8k,accuracy,3.6676403045654298,20.003779153408477,1.6663587987422943,0.1
0,phi2,q4,mbpp,code_validity,4.32122331460317,11.83306892761895,1.6663587987422943,1.0
0,phi2,q4,cnn_dm,rougeL,4.772140614191691,16.50552090448161,1.6663587987422943,0.1966786229401852
0,phi2,q4,triviaqa,accuracy,3.938669522603353,19.803641699911935,1.6663587987422943,0.3333333333333333
0,phi2,q2,gsm8k,accuracy,2.956287121772766,18.931404278859663,1.0930097997188568,0.0333333333333333
